month,year,days,bif_kg_pgc,bif_kgha_pgc
1,2009,31,12.52171443,0.001879502
2,2009,28,14.97022447,0.002247022
3,2009,31,19.74184667,0.00296324
4,2009,30,26.49044057,0.0039762
5,2009,31,20.52020782,0.003080072
6,2009,30,22.79690688,0.003421803
7,2009,31,28.49996569,0.004277829
8,2009,31,24.54242743,0.003683805
9,2009,30,27.6095923,0.004144184
10,2009,31,16.23372173,0.002436673
11,2009,30,17.26260653,0.002591108
12,2009,31,8.178599242,0.001227603
1,2010,31,10.77194688,0.001616863
2,2010,28,10.1384619,0.001521777
3,2010,31,14.19061079,0.002130003
4,2010,30,13.84127834,0.002077568
5,2010,31,23.98832587,0.003600634
6,2010,30,19.5966419,0.002941445
7,2010,31,14.13000217,0.002120905
8,2010,31,11.29109851,0.001694788
9,2010,30,23.96833826,0.003597634
10,2010,31,15.53318558,0.002331522
11,2010,30,9.030137095,0.001355419
12,2010,31,34.69766114,0.0052081
1,2011,31,38.32352737,0.00575234
2,2011,28,36.87675842,0.005535181
3,2011,31,36.09970684,0.005418546
4,2011,30,39.55329943,0.005936928
5,2011,31,37.05343743,0.0055617
6,2011,30,46.83944025,0.007030574
7,2011,31,12.45404152,0.001869345
8,2011,31,41.34737633,0.006206218
9,2011,30,111.7988832,0.01678095
10,2011,31,37.83833335,0.005679513
11,2011,30,36.49154615,0.005477361
12,2011,31,31.85346384,0.004781187
1,2012,31,41.1115706,0.006170824
2,2012,29,30.76285303,0.004617487
3,2012,31,17.55351429,0.002634773
4,2012,30,16.89591666,0.002536068
5,2012,31,33.21380685,0.004985374
6,2012,30,28.76947114,0.004318282
7,2012,31,16.99888055,0.002551522
8,2012,31,95.85575168,0.014387895
9,2012,30,17.37909157,0.002608592
10,2012,31,12.4168661,0.001863765
11,2012,30,16.31270966,0.002448529
12,2012,31,12.11179277,0.001817973
1,2013,31,9.394310332,0.001410081
2,2013,28,13.13625955,0.001971745
3,2013,31,15.53430569,0.002331691
4,2013,30,28.73205283,0.004312665
5,2013,31,21.28375601,0.00319468
6,2013,30,19.06017218,0.002860921
7,2013,31,43.68316289,0.006556818
8,2013,31,20.45953807,0.003070965
9,2013,30,12.44801458,0.00186844
10,2013,31,10.5634203,0.001585563
11,2013,30,12.47584826,0.001872618
12,2013,31,10.44484996,0.001567766
1,2014,31,9.469867111,0.001421422
2,2014,28,8.992157249,0.001349718
3,2014,31,4.673981765,0.000701562
4,2014,30,20.578546,0.003088828
5,2014,31,12.17812622,0.00182793
6,2014,30,10.19497306,0.00153026
7,2014,31,10.96312101,0.001645558
8,2014,31,42.62192784,0.006397528
9,2014,30,20.99261308,0.003150979
10,2014,31,38.59665097,0.005793336
11,2014,30,13.92780163,0.002090555
12,2014,31,8.35878941,0.00125465
