"month","year","bif_kg"
1,2009,109.173699246213
2,2009,61.818392626096
3,2009,521.874382759532
4,2009,316.902148231562
5,2009,185.80821864699
6,2009,385.53886476915
7,2009,330.835695677906
8,2009,578.657509565124
9,2009,325.679299760341
10,2009,309.737975597257
11,2009,257.225644108908
12,2009,239.357507958662
1,2010,178.936010183138
2,2010,241.210522586732
3,2010,190.164480789454
4,2010,172.388598588742
5,2010,324.033541944732
6,2010,424.346767896191
7,2010,74.9528534507593
8,2010,242.56437405126
9,2010,293.125637606849
10,2010,295.740562152373
11,2010,623.005544638531
12,2010,627.371391837664
1,2011,703.320809356156
2,2011,771.944567999539
3,2011,683.133650304234
4,2011,897.925234333103
5,2011,856.089921176991
6,2011,1198.90570572999
7,2011,1078.11322390317
8,2011,1212.67596514564
9,2011,996.907657208474
10,2011,896.334359348734
11,2011,697.721579652
12,2011,937.327667175954
1,2012,218.349667949279
2,2012,506.238724243545
3,2012,589.697824875598
4,2012,456.570926287795
5,2012,463.040946704611
6,2012,358.025581851354
7,2012,353.854425201808
8,2012,1498.62006867573
9,2012,1325.81835246856
10,2012,1344.29026178661
11,2012,1073.7013000485
12,2012,239.236729014384
1,2013,231.437676290217
2,2013,408.776190229661
3,2013,227.463287646155
4,2013,204.677723919245
5,2013,779.324109195333
6,2013,788.904485093664
7,2013,958.244349712817
8,2013,818.674485652094
9,2013,228.702411038325
10,2013,178.144802332028
11,2013,439.010185993186
12,2013,168.72983256667
1,2014,180.715951081041
2,2014,123.83236427511
3,2014,192.291021227399
4,2014,159.167638327597
5,2014,233.670294374702
6,2014,196.82313209786
7,2014,207.602555523651
8,2014,277.494585698639
9,2014,68.3357133989478
10,2014,170.572523771941
11,2014,80.9987982375312
12,2014,69.0344022440398
