month,year,days,bifenthrin_kgha,bif_kgha_with_home
1,2009,31,0.001117063,0.001396329
2,2009,28,0.000632525,0.000790656
3,2009,31,0.005339808,0.00667476
4,2009,30,0.003242536,0.00405317
5,2009,31,0.001901186,0.002376482
6,2009,30,0.003944826,0.004931032
7,2009,31,0.003385104,0.00423138
8,2009,31,0.005920812,0.007401015
9,2009,30,0.003332344,0.00416543
10,2009,31,0.003169233,0.003961541
11,2009,30,0.002631928,0.003289909
12,2009,31,0.002449101,0.003061376
1,2010,31,0.00183087,0.002288587
2,2010,28,0.002468061,0.003085076
3,2010,31,0.001945759,0.002432199
4,2010,30,0.001763877,0.002204846
5,2010,31,0.003315505,0.004144381
6,2010,30,0.004341907,0.005427384
7,2010,31,0.000766916,0.000958645
8,2010,31,0.002481914,0.003102392
9,2010,30,0.002999255,0.003749069
10,2010,31,0.003026011,0.003782514
11,2010,30,0.00637458,0.007968225
12,2010,31,0.006419251,0.008024064
1,2011,31,0.007196364,0.008995455
2,2011,28,0.007898521,0.009873151
3,2011,31,0.006989809,0.008737262
4,2011,30,0.009187553,0.011484441
5,2011,31,0.008759494,0.010949368
6,2011,30,0.012267179,0.015333973
7,2011,31,0.011031232,0.01378904
8,2011,31,0.012408076,0.015510094
9,2011,30,0.010200339,0.012750423
10,2011,31,0.009171275,0.011464093
11,2011,30,0.007139073,0.008923841
12,2011,31,0.009590717,0.011988397
1,2012,31,0.002234149,0.002792687
2,2012,29,0.005179824,0.00647478
3,2012,31,0.006033776,0.00754222
4,2012,30,0.004671624,0.00583953
5,2012,31,0.004737825,0.005922282
6,2012,30,0.00366331,0.004579138
7,2012,31,0.003620631,0.004525789
8,2012,31,0.01533385,0.019167312
9,2012,30,0.013565746,0.016957183
10,2012,31,0.01375475,0.017193438
11,2012,30,0.01098609,0.013732612
12,2012,31,0.002447865,0.003059832
1,2013,31,0.002368066,0.002960082
2,2013,28,0.00418259,0.005228237
3,2013,31,0.0023274,0.00290925
4,2013,30,0.002094258,0.002617823
5,2013,31,0.007974028,0.009967535
6,2013,30,0.008072054,0.010090068
7,2013,31,0.009804736,0.012255921
8,2013,31,0.008376661,0.010470826
9,2013,30,0.002340078,0.002925098
10,2013,31,0.001822774,0.002278467
11,2013,30,0.004491943,0.005614929
12,2013,31,0.00172644,0.00215805
1,2014,31,0.001849082,0.002311352
2,2014,28,0.00126705,0.001583813
3,2014,31,0.001967518,0.002459397
4,2014,30,0.0016286,0.00203575
5,2014,31,0.00239091,0.002988637
6,2014,30,0.00201389,0.002517363
7,2014,31,0.002124185,0.002655231
8,2014,31,0.002839319,0.003549149
9,2014,30,0.00069921,0.000874012
10,2014,31,0.001745295,0.002181618
11,2014,30,0.000828778,0.001035973
12,2014,31,0.000706359,0.000882948
