YEAR,MONTH,DAY,DATE,CHEMICAL_APPLIED_KG_HA,,,,,,,,,,,,,,,,
2009,1,1,1/1/2009,0.000595841,,,,,,,,,,,,,,,,
2009,2,1,2/1/2009,0.000712386,,,,,,,,,,,,,,,,
2009,3,1,3/1/2009,0.000939473,,,,,,,,,,,,,,,,
2009,4,1,4/1/2009,0.00126073,,,,,,,,,,,,,,,,
2009,5,1,5/1/2009,0.000976449,,,,,,,,,,,,,,,,
2009,6,1,6/1/2009,0.0010848,,,,,,,,,,,,,,,,
2009,7,1,7/1/2009,0.00135621,,,,,,,,,,,,,,,,
2009,8,1,8/1/2009,0.001167865,,,,,,,,,,,,,,,,
2009,9,1,9/1/2009,0.001313859,,,,,,,,,,,,,,,,
2009,10,1,10/1/2009,0.000772452,,,,,,,,,,,,,,,,
2009,11,1,11/1/2009,0.000821442,,,,,,,,,,,,,,,,
2009,12,1,12/1/2009,0.000389117,,,,,,,,,,,,,,,,
2010,1,1,1/1/2010,0.000512607,,,,,,,,,,,,,,,,
2010,2,1,2/1/2010,0.000482384,,,,,,,,,,,,,,,,
2010,3,1,3/1/2010,0.000675277,,,,,,,,,,,,,,,,
2010,4,1,4/1/2010,0.000658638,,,,,,,,,,,,,,,,
2010,5,1,5/1/2010,0.001141528,,,,,,,,,,,,,,,,
2010,6,1,6/1/2010,0.00093253,,,,,,,,,,,,,,,,
2010,7,1,7/1/2010,0.000672258,,,,,,,,,,,,,,,,
2010,8,1,8/1/2010,0.000534863,,,,,,,,,,,,,,,,
2010,9,1,9/1/2010,0.001138785,,,,,,,,,,,,,,,,
2010,10,1,10/1/2010,0.000739095,,,,,,,,,,,,,,,,
2010,11,1,11/1/2010,0.000429603,,,,,,,,,,,,,,,,
2010,12,1,12/1/2010,0.001651327,,,,,,,,,,,,,,,,
2011,1,1,1/1/2011,0.001823733,,,,,,,,,,,,,,,,
2011,2,1,2/1/2011,0.001754854,,,,,,,,,,,,,,,,
2011,3,1,3/1/2011,0.001717767,,,,,,,,,,,,,,,,
2011,4,1,4/1/2011,0.001882136,,,,,,,,,,,,,,,,
2011,5,1,5/1/2011,0.001763038,,,,,,,,,,,,,,,,
2011,6,1,6/1/2011,0.002228816,,,,,,,,,,,,,,,,
2011,7,1,7/1/2011,0.000592535,,,,,,,,,,,,,,,,
2011,8,1,8/1/2011,0.001967375,,,,,,,,,,,,,,,,
2011,9,1,9/1/2011,0.001957463,,,,,,,,,,,,,,,,
2011,10,1,10/1/2011,0.001798685,,,,,,,,,,,,,,,,
2011,11,1,11/1/2011,0.001733661,,,,,,,,,,,,,,,,
2011,12,1,12/1/2011,0.00151576,,,,,,,,,,,,,,,,
2012,1,1,1/1/2012,0.001956406,,,,,,,,,,,,,,,,
2012,2,1,2/1/2012,0.001463903,,,,,,,,,,,,,,,,
2012,3,1,3/1/2012,0.000835269,,,,,,,,,,,,,,,,
2012,4,1,4/1/2012,0.000803894,,,,,,,,,,,,,,,,
2012,5,1,5/1/2012,0.001580439,,,,,,,,,,,,,,,,
2012,6,1,6/1/2012,0.001368836,,,,,,,,,,,,,,,,
2012,7,1,7/1/2012,0.000808657,,,,,,,,,,,,,,,,
2012,8,1,8/1/2012,0.004561619,,,,,,,,,,,,,,,,
2012,9,1,9/1/2012,0.000826675,,,,,,,,,,,,,,,,
2012,10,1,10/1/2012,0.00059022,,,,,,,,,,,,,,,,
2012,11,1,11/1/2012,0.000776232,,,,,,,,,,,,,,,,
2012,12,1,12/1/2012,0.000576371,,,,,,,,,,,,,,,,
2013,1,1,1/1/2013,0.000447022,,,,,,,,,,,,,,,,
2013,2,1,2/1/2013,0.0006251,,,,,,,,,,,,,,,,
2013,3,1,3/1/2013,0.000738998,,,,,,,,,,,,,,,,
2013,4,1,4/1/2013,0.001367126,,,,,,,,,,,,,,,,
2013,5,1,5/1/2013,0.001012298,,,,,,,,,,,,,,,,
2013,6,1,6/1/2013,0.000906941,,,,,,,,,,,,,,,,
2013,7,1,7/1/2013,0.002078562,,,,,,,,,,,,,,,,
2013,8,1,8/1/2013,0.000973455,,,,,,,,,,,,,,,,
2013,9,1,9/1/2013,0.0005923,,,,,,,,,,,,,,,,
2013,10,1,10/1/2013,0.000502413,,,,,,,,,,,,,,,,
2013,11,1,11/1/2013,0.000593468,,,,,,,,,,,,,,,,
2013,12,1,12/1/2013,0.000496786,,,,,,,,,,,,,,,,
2014,1,1,1/1/2014,0.000450379,,,,,,,,,,,,,,,,
2014,2,1,2/1/2014,0.000427723,,,,,,,,,,,,,,,,
2014,3,1,3/1/2014,0.000222177,,,,,,,,,,,,,,,,
2014,4,1,4/1/2014,0.000979028,,,,,,,,,,,,,,,,
2014,5,1,5/1/2014,0.000578578,,,,,,,,,,,,,,,,
2014,6,1,6/1/2014,0.000482895,,,,,,,,,,,,,,,,
2014,7,1,7/1/2014,0.000519021,,,,,,,,,,,,,,,,
2014,8,1,8/1/2014,0.002026056,,,,,,,,,,,,,,,,
2014,9,1,9/1/2014,0.00099781,,,,,,,,,,,,,,,,
2014,10,1,10/1/2014,0.001834575,,,,,,,,,,,,,,,,
2014,11,1,11/1/2014,0.000661389,,,,,,,,,,,,,,,,
2014,12,1,12/1/2014,0.000397466,,,,,,,,,,,,,,,,
