YEAR,MONTH,DAY,DATE,CHEMICAL_APPLIED_KG_HA,,,,,,,,,,,,,,,
2009,1,1,1/1/2009,0.001160607,,,,,,,,,,,,,,,
2009,2,1,2/1/2009,0.000657181,,,,,,,,,,,,,,,
2009,3,1,3/1/2009,0.00554796,,,,,,,,,,,,,,,
2009,4,1,4/1/2009,0.003368934,,,,,,,,,,,,,,,
2009,5,1,5/1/2009,0.001901186,,,,,,,,,,,,,,,
2009,6,1,6/1/2009,0.003944826,,,,,,,,,,,,,,,
2009,7,1,7/1/2009,0.003385104,,,,,,,,,,,,,,,
2009,8,1,8/1/2009,0.006151612,,,,,,,,,,,,,,,
2009,9,1,9/1/2009,0.003332344,,,,,,,,,,,,,,,
2009,10,1,10/1/2009,0.003169278,,,,,,,,,,,,,,,
2009,11,1,11/1/2009,0.002734523,,,,,,,,,,,,,,,
2009,12,1,12/1/2009,0.00254457,,,,,,,,,,,,,,,
2010,1,1,1/1/2010,0.00183087,,,,,,,,,,,,,,,
2010,2,1,2/1/2010,0.002468061,,,,,,,,,,,,,,,
2010,3,1,3/1/2010,0.001945759,,,,,,,,,,,,,,,
2010,4,1,4/1/2010,0.001763875,,,,,,,,,,,,,,,
2010,5,1,5/1/2010,0.003315505,,,,,,,,,,,,,,,
2010,6,1,6/1/2010,0.004341907,,,,,,,,,,,,,,,
2010,7,1,7/1/2010,0.000766441,,,,,,,,,,,,,,,
2010,8,1,8/1/2010,0.002481913,,,,,,,,,,,,,,,
2010,9,1,9/1/2010,0.00299925,,,,,,,,,,,,,,,
2010,10,1,10/1/2010,0.003026011,,,,,,,,,,,,,,,
2010,11,1,11/1/2010,0.00637458,,,,,,,,,,,,,,,
2010,12,1,12/1/2010,0.006419251,,,,,,,,,,,,,,,
2011,1,1,1/1/2011,0.007196358,,,,,,,,,,,,,,,
2011,2,1,2/1/2011,0.007898521,,,,,,,,,,,,,,,
2011,3,1,3/1/2011,0.006989809,,,,,,,,,,,,,,,
2011,4,1,4/1/2011,0.009187553,,,,,,,,,,,,,,,
2011,5,1,5/1/2011,0.008759494,,,,,,,,,,,,,,,
2011,6,1,6/1/2011,0.012267105,,,,,,,,,,,,,,,
2011,7,1,7/1/2011,0.011031232,,,,,,,,,,,,,,,
2011,8,1,8/1/2011,0.012408076,,,,,,,,,,,,,,,
2011,9,1,9/1/2011,0.010200333,,,,,,,,,,,,,,,
2011,10,1,10/1/2011,0.009171275,,,,,,,,,,,,,,,
2011,11,1,11/1/2011,0.007139073,,,,,,,,,,,,,,,
2011,12,1,12/1/2011,0.009590717,,,,,,,,,,,,,,,
2012,1,1,1/1/2012,0.002234149,,,,,,,,,,,,,,,
2012,2,1,2/1/2012,0.005179824,,,,,,,,,,,,,,,
2012,3,1,3/1/2012,0.006033776,,,,,,,,,,,,,,,
2012,4,1,4/1/2012,0.004671624,,,,,,,,,,,,,,,
2012,5,1,5/1/2012,0.004737825,,,,,,,,,,,,,,,
2012,6,1,6/1/2012,0.00366331,,,,,,,,,,,,,,,
2012,7,1,7/1/2012,0.003620631,,,,,,,,,,,,,,,
2012,8,1,8/1/2012,0.01533385,,,,,,,,,,,,,,,
2012,9,1,9/1/2012,0.013565746,,,,,,,,,,,,,,,
2012,10,1,10/1/2012,0.01373732,,,,,,,,,,,,,,,
2012,11,1,11/1/2012,0.01098609,,,,,,,,,,,,,,,
2012,12,1,12/1/2012,0.002447865,,,,,,,,,,,,,,,
2013,1,1,1/1/2013,0.002368066,,,,,,,,,,,,,,,
2013,2,1,2/1/2013,0.00418259,,,,,,,,,,,,,,,
2013,3,1,3/1/2013,0.0023274,,,,,,,,,,,,,,,
2013,4,1,4/1/2013,0.002094258,,,,,,,,,,,,,,,
2013,5,1,5/1/2013,0.007974028,,,,,,,,,,,,,,,
2013,6,1,6/1/2013,0.008072054,,,,,,,,,,,,,,,
2013,7,1,7/1/2013,0.009804736,,,,,,,,,,,,,,,
2013,8,1,8/1/2013,0.008376661,,,,,,,,,,,,,,,
2013,9,1,9/1/2013,0.002340078,,,,,,,,,,,,,,,
2013,10,1,10/1/2013,0.001822774,,,,,,,,,,,,,,,
2013,11,1,11/1/2013,0.004491943,,,,,,,,,,,,,,,
2013,12,1,12/1/2013,0.00172644,,,,,,,,,,,,,,,
2014,1,1,1/1/2014,0.001849082,,,,,,,,,,,,,,,
2014,2,1,2/1/2014,0.00126705,,,,,,,,,,,,,,,
2014,3,1,3/1/2014,0.001967518,,,,,,,,,,,,,,,
2014,4,1,4/1/2014,0.0016286,,,,,,,,,,,,,,,
2014,5,1,5/1/2014,0.002339123,,,,,,,,,,,,,,,
2014,6,1,6/1/2014,0.001971684,,,,,,,,,,,,,,,
2014,7,1,7/1/2014,0.002084355,,,,,,,,,,,,,,,
2014,8,1,8/1/2014,0.002811474,,,,,,,,,,,,,,,
2014,9,1,9/1/2014,0.000689493,,,,,,,,,,,,,,,
2014,10,1,10/1/2014,0.001745295,,,,,,,,,,,,,,,
2014,11,1,11/1/2014,0.000828778,,,,,,,,,,,,,,,
2014,12,1,12/1/2014,0.000706359,,,,,,,,,,,,,,,
